Chinese Name,English Name
阿富汗,Afghanistan
奧蘭群島,Aland Islands
阿爾巴尼亞,Albania
阿爾及利亞,Algeria
美屬薩摩亞,American Samoa
安道爾,Andorra
安哥拉,Angola
英屬安圭拉,Anguilla
南極洲,Antarctica
安地卡及巴布達,Antigua And Barbuda
阿根廷,Argentina
亞美尼亞,Armenia
阿魯巴,Aruba
澳大利亞,Australia
奧地利,Austria
亞塞拜然,Azerbaijan
巴哈馬,Bahamas
巴林,Bahrain
孟加拉,Bangladesh
巴貝多,Barbados
白俄羅斯,Belarus
比利時,Belgium
貝里斯,Belize
貝南,Benin
百慕達,Bermuda
不丹,Bhutan
玻利維亞,Bolivia
波士尼亞,Bosnia And Herzegovina
波札那,Botswana
波維特島,Bouvet Island
巴西,Brazil
英屬印度洋地區,British Indian Ocean Territory
汶萊,Brunei Darussalam
保加利亞,Bulgaria
布吉納法索,Burkina Faso
緬甸,Burma參見 Myanmar
浦隆地,Burundi
柬埔寨王國,"Cambodia, Kingdom Of Cambodia"
喀麥隆,Cameroon
加拿大,Canada
維德角島,Cape Verde
開曼群島,Cayman Islands
中非,Central African Republic
查德,Chad
智利,Chile
中國大陸,China
聖誕島,Christmas Island
可可斯群島,Cocos（Keeling）Islands
哥倫比亞,Colombia
葛摩,Comoros
剛果共和國,Congo
剛果民主共和國,"Congo,The Democratic Republic Of The"
科克群島,Cook Islands
哥斯大黎加,Costa Rica
象牙海岸,Cõte D'Ivoire
克羅埃西亞,Croacia
古巴,Cuba
賽普勒斯,Cyprus
捷克,Czech Republic
丹麥,Denmark
吉布地,Djibouti
多米尼克,Dominica
多明尼加,Dominican Republic
帝汶,East Timor
厄瓜多,Ecuador
埃及,Egypt
薩爾瓦多,El Salvador
赤道幾內亞,Equatorial Guinea
厄利垂亞,Eritrea
愛沙尼亞,Estonia
依索比亞,Ethiopia
福克蘭群島,Falkland Islands（Malvinas）
法羅群島,Faroe Islands
斐濟群島,Fiji
芬蘭,Finland
法國,France
法國本土,"Frence, Metropolitan"
法屬圭亞那,French Guiana
法屬玻里尼西亞,French Polynesia
法屬南部屬地,French Southern Territories
加彭,Gabon
甘比亞,Gambia
喬治亞,Georgia
德國,Germany
迦納,Ghana
直布羅陀,Gibraltar
希臘,Greece
格陵蘭,Greenland
格瑞那達,Grenada
瓜德魯普島,Guadeloupe
關島,Guam
烏干達,Guanda
瓜地馬拉,Guatemala
格恩西島,Guernsey
幾內亞,Guinea
幾內亞比索,Guinea-Bissau
蓋亞那,Guyana
海地,Haiti
赫德及麥當勞群島,Heard And Mcdonald Islands
教廷,Holy See（Vatican City State）
宏都拉斯,Honduras
香港,Hong Kong
匈牙利,Hungary
冰島,Iceland
印度,India
印尼,Indonesia
伊朗,Iran（Islamic Republic Of Iran）
伊拉克,Iraq
愛爾蘭,Ireland
馬恩島,Isle Of Man
以色列,Israel
義大利,Italy
牙買加,Jamaica
日本,Japan
澤西,Jersey
約旦,Jordan
哈薩克,Kazakhstan
肯亞,Kenya
吉里巴斯,Kiribati
北韓,"Korea, Democratic People'S Republic Of"
韓國,"Korea, Republic Of"
科威特,Kuwait
吉爾吉斯,Kyrgyzstan
寮國,Lao People'S Democratic Republic
拉脫維亞,Latvia
黎巴嫩,Lebanon
賴索托,Lesotho
賴比瑞亞,Liberia
利比亞,Libyan Arab Jamahiriya
列支敦斯登,Liechtenstein
立陶宛,Lithuania
盧森堡,Luxembourg
澳門,Macau
馬其頓,Macedonia
馬達加斯加,Madagascar
馬拉威,Malawi
馬來西亞,Malaysia
馬爾地夫,Maldives
馬利,Mali
馬爾他,Malta
馬紹爾群島,Marshall Islands
法屬馬丁尼克,Martinique
茅利塔尼亞,Mauritania
模里西斯,Mauritius
美亞特,Mayotte
墨西哥,Mexico
密克羅尼西亞,Micronesia（Federated Stated Of）
摩爾多瓦,Moldova Republic Of
摩納哥,Monaco
蒙古,Mongolia
黑山,Montenegro
蒙瑟拉特島,Montserrat
摩洛哥,Morocco
莫三比克,Mozambique
緬甸,Myanmar
納米比亞,Namibia
諾魯,Nauru
尼泊爾,Nepal
荷蘭,Netherlands
荷屬安地列斯,Netherlands Antilles
納維斯,Nevis
新喀里多尼亞島,New Caleddnia
紐西蘭,New Zealand
尼加拉瓜,Nicaragua
尼日,Niger
奈及利亞,Nigeria
紐威島,Niue
諾福克群島,Norfolk Island
北馬里亞納群島,Northern Mariana Islands
挪威,Norway
阿曼,Oman
其他國家,Other
巴基斯坦,Pakistan
帛琉群島,Palau
巴勒斯坦佔領區,"Palestinian Territory, Occupied"
巴拿馬,Panama
巴布亞紐幾內亞,Papua New Guinea
